A,B,C,D,E
VIA,CHAVEZ GIORGIO,20,2365,2
VIA,CHERUBINI FRANCESCO,2,6192,7
VIA,SAND GEORGE,3,1554,9
VIA,CHIESE,2,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CHIESE,60,1627,9
VIA,CIRILLO DOMENICO,14,7133,1
VIA,COLLETTA PIETRO,31,4078,4
VIA,COMELICO,30,3195,4
VIA,CONCA DEL NAVIGLIO,7,5180,1
VIA,CONCHETTA,8,5239,5
VIA,CONEGLIANO,1,2359,2
VIA,CONFALONIERI FEDERICO,9,1125,9
VIA,CONSOLE MARCELLO,10,7278,8
VIA,CONSOLE MARCELLO,1,7278,8
VIA,CONSTANT BENJAMIN,10,6083,7
VIA,CONTE ROSSO,27,2667,3
VIA,COPERNICO NICOLO',63,1204,2
VIA,CORELLI ARCANGELO,27,3243,3
VIA,CORELLI ARCANGELO,31,3243,3
VIA,CORIO BERNARDINO,3,4102,4
VIA,CORIO BERNARDINO,8,4102,4
VIA,CORNALIA EMILIO,32,1182,9
VIA,CORRADO II IL SALICO,10,4225,5
VIA,CORREGGIO,12,6287,7
VIA,CORRENTI CESARE,16,555,1
VIA,CORRENTI CESARE,20,555,1
VIA,CORRENTI CESARE,21,555,1
VIA,CORRIDONI FILIPPO,10,3020,1
VIA,CORRIDONI FILIPPO,1,3020,1
VIA,CORRIDONI FILIPPO,22,3020,1
VIA,CORSICO,5,5157,6
VIA,CORSICO,9,5157,6
VIA,COSENZ ENRICO,22,1464,9
VIA,CREMA,12,4061,5
VIA,CREMA,17,4061,5
VIA,CREMA,1,4061,5
VIA,CREMA,7,4061,5
VIA,CRESCENZAGO,36,2396,3
VIA,CUCCHIARI DOMENICO,1,7224,8
VIA,CUNEO,3,6281,7
VIA,CURTATONE,2,4034,1
VIA,CUSANI,10,719,1
VIA,CUSANI,1,719,1
VIA,CUSANI,1,719,1
VIA,CUSTODI PIETRO,4,5199,5
VIA,D'APULIA NICOLA,14,2290,2
VIA,D'APULIA NICOLA,4,2290,2
VIA,DE AMICIS EDMONDO,39,574,1
VIA,DE AMICIS EDMONDO,44,574,1
VIA,DE AMICIS EDMONDO,4,574,1
VIA,DE ANGELI CARLO,1,4326,5
VIA,DE ANGELIS MICHELE,15,1527,9
VIA,DE CASTILLIA GAETANO,28,1123,9
VIA,DE CRISTOFORIS CARLO,2,1120,9
VIA,DEGLI ARCIMBOLDI,2,522,1
VIA,DEGLI ARCIMBOLDI,2,522,1
VIA,DEGLI IMBRIANI,16,1266,9
VIA,DEGLI SCIPIONI,7,2174,3
VIA,DEGLI SCIPIONI,7,2174,3
VIA,DEGLI UMILIATI,8,3347,4
VIA,DEGLI ZUCCARO,2,5390,6
VIA,DEI BIANCOSPINI,18,6711,6
VIA,DEI CINQUECENTO,3,4283,4
VIA,DEI FIORDALISI,1,6710,6
VIA,DEI FIORDALISI,1,6710,6
VIA,DEI GRIMANI,19,6097,6
VIA,DEI GUARNERI,11,4300,5
VIA,DEI MISSAGLIA,97,5340,5
VIA,DEI MISSAGLIA,97,5340,5
VIA,DEI PIATTI,2,532,1
VIA,DEI SORMANI,14,6115,7
VIA,DEI TRANSITI,1,2284,2
VIA,DEI VALTORTA,2,2324,2
VIA,DEL BOLLO,2,568,1
VIA,DELLA CHIESA ROSSA,33,5321,5
VIA,DELLA COMMENDA,35,3146,1
VIA,DELL' ALLODOLA,16,6660,6
VIA,DELLA MOSCOVA,10,1016,1
VIA,DELLA MOSCOVA,22,1016,1
VIA,DELLA MOSCOVA,25,1016,1
VIA,DELLA MOSCOVA,25,1016,1
VIA,DELLA MOSCOVA,50,1016,1
VLE,PREMUDA,17,3063,1
VIA,DELLA PORTA GIACOMO,1,1645,9
VIA,DELLE BETULLE,34,6828,7
VIA,DELLE FORZE ARMATE,19,6643,7
VIA,DELLE FORZE ARMATE,326,6643,7
VIA,DELLE FORZE ARMATE,386,6643,7
